1001;Ana Martins;12.5;14.2;16.0
1002;Joao Silva;19.95;20.0;18.5
1003;Rui Santos;-1.5;10.0;12.34
1004;Maria Oliveira;18.75;19.1;17.5
1005;Carlos Pereira;10.0;10.0;10.0
1006;;15.5;15.5;15.5
1007;Hugo Ferreira;7.25;8.4;9.1
1008;Sofia Rodrigues;20.5;18.0;16.0
1009;Tiago Almeida;11.11;11.11;11.11
1010;Ines Carvalho;14.5;13.25;12.0
1011;Diogo Gomes;5.5;10.0;15.5
1012;Margarida Sousa;19.0;19.0;19.9
1013;Ricardo Lima;12.4;14.6;
1014;Filipa Rocha;8.8;9.9;10.0
1015;Andreia Bento;13.13;13.13;13.13
1016;Nuno Melo;17.5;17.5;17.5
1017;Vera Cruz;11.2;12.3;13.4
1018;Paulo Jorge;6.66;7.77;8.88
1019;Marta Dias;20.0;15.5;10.0
1020;Luis Miguel;10.25;11.5;12.75
1021;Daniela Paiva;14.0;14.0;14.0
1022;Sonia Tavares;9.5;9.5;9.5
1023;Pedro Miguel;A;17.5;18.0
1024;Joana Ribeiro;12.12;12.12;12.12
1025;Vasco Matos;15.5;10.0;5.5
1026;Clara Pires;18.25;18.25;18.25
1027;Bruno Alves;7.0;7.0;7.0
1028;Rita Fonseca;13.5;14.5;15.5
1029;Jorge Manuel;11.9;10.8;9.7
1030;Helena Vaz;20.0;20.0;19.5
1031;Nuno Silva;10.5;10.5;10.5;10.5
1032;Jose Manuel;12.2;12.2;12.2
1033;Ana Rita;14.4;14.4;14.4
1034;Invalido;25.5;10.0;10.0
1035;Valido Final;10.1;10.2;10.3
1033;Ana Outra;14.5;14.5;14.5
